Wavelength,n,k
401.383362,2.031151,0.134491
402.97113,2.028688,0.139374
404.558899,2.026916,0.143501
406.146667,2.025418,0.146514
407.734436,2.023471,0.148591
409.322113,2.020856,0.150369
410.909821,2.017882,0.152332
412.497498,2.014933,0.154437
414.085144,2.012094,0.15651
415.67276,2.009292,0.158475
417.260345,2.006483,0.160368
418.847961,2.003674,0.162228
420.435486,2.000892,0.164069
422.023041,1.998156,0.165889
423.610535,1.995488,0.16768
425.198059,1.992894,0.169402
426.785492,1.99034,0.171011
428.372955,1.987732,0.172516
429.960358,1.985029,0.174018
431.54776,1.982284,0.175619
433.135101,1.979634,0.177326
434.722473,1.977132,0.179032
436.309753,1.974733,0.180637
437.897064,1.972321,0.182134
439.484314,1.969851,0.183605
441.071533,1.967341,0.18512
442.658752,1.964855,0.186704
444.245941,1.96243,0.188338
445.833099,1.960091,0.190005
447.420227,1.957866,0.191659
449.007324,1.955737,0.193237
450.594391,1.953635,0.194682
452.181458,1.951435,0.19603
453.768463,1.949099,0.197404
455.355408,1.946681,0.198922
456.942383,1.944325,0.200618
458.529297,1.942119,0.202406
460.116211,1.940073,0.204198
461.703064,1.938146,0.205925
463.289886,1.936287,0.207567
464.876709,1.934451,0.209114
466.46347,1.932573,0.210565
468.050201,1.930587,0.211995
469.636902,1.9285,0.213503
471.223633,1.926391,0.215178
472.810242,1.924409,0.217006
474.396881,1.922617,0.218866
475.983459,1.920987,0.220641
477.570007,1.919404,0.222257
479.156555,1.91775,0.223774
480.743011,1.916,0.225285
482.329498,1.914187,0.22687
483.915924,1.912391,0.228553
485.502289,1.910658,0.230299
487.088623,1.908999,0.232071
488.674957,1.907407,0.233839
490.26123,1.905863,0.23559
491.847473,1.904355,0.237319
493.433685,1.902866,0.239021
495.019867,1.901368,0.2407
496.606018,1.899845,0.242391
498.192139,1.898307,0.244126
499.778168,1.896783,0.245936
501.364197,1.895335,0.247818
502.950195,1.893993,0.24972
504.536194,1.892753,0.251595
506.122131,1.891584,0.253399
507.707947,1.890429,0.255122
509.293854,1.889256,0.256791
510.879639,1.88805,0.258433
512.465454,1.886809,0.260071
514.051147,1.885538,0.261724
515.636841,1.884246,0.263408
517.222473,1.882942,0.265134
518.808105,1.881644,0.266916
520.393677,1.88038,0.268752
521.979187,1.879166,0.270624
523.564697,1.878005,0.272515
525.150146,1.876897,0.274411
526.735535,1.875834,0.276298
528.320923,1.874805,0.278172
529.906311,1.873804,0.28003
531.491577,1.872821,0.281867
533.076782,1.87184,0.283684
534.661987,1.870846,0.285497
536.247192,1.8698380000000001,0.287324
537.832336,1.868823,0.289183
539.417358,1.867818,0.291088
541.002441,1.866854,0.293039
542.587402,1.865943,0.295013
544.172363,1.865088,0.296993
545.757263,1.864282,0.298961
547.342163,1.863511,0.300904
548.926941,1.862757,0.302827
550.511719,1.862013,0.304735
552.096436,1.861273,0.306636
553.681091,1.860535,0.308535
555.265747,1.859798,0.310439
556.850342,1.859063,0.312355
558.434937,1.858333,0.314291
560.019409,1.857614,0.316252
561.603882,1.856917,0.318245
563.188232,1.856259,0.320265
564.772583,1.855645,0.322298
566.356934,1.855078,0.324334
567.941223,1.854554,0.326361
569.525391,1.854063,0.328369
571.109558,1.853593,0.330358
572.693726,1.853136,0.332332
574.277771,1.852689,0.334298
575.861755,1.85225,0.336259
577.44574,1.851817,0.338219
579.029663,1.851392,0.340183
580.613586,1.850975,0.342155
582.197388,1.850569,0.344137
583.781128,1.850178,0.346134
585.364868,1.849807,0.348148
586.948547,1.849465,0.350177
588.532166,1.849157,0.352214
590.115784,1.848884,0.354253
591.69928,1.848646,0.356287
593.282715,1.848438,0.358309
594.86615,1.848253,0.360317
596.449524,1.848084,0.362312
598.032837,1.847928,0.364298
599.616089,1.847784,0.366279
601.199341,1.847652,0.368257
602.782471,1.847532,0.370235
604.36554,1.847428,0.372214
605.948608,1.84734,0.374195
607.531616,1.847269,0.376176
609.114502,1.847216,0.378158
610.697388,1.847183,0.38014
612.280212,1.847168,0.382123
613.862976,1.847175,0.384105
615.445679,1.847203,0.386084
617.028381,1.847252,0.388061
618.610962,1.847322,0.390034
620.193542,1.847412,0.392001
621.776001,1.847522,0.393962
623.358459,1.847652,0.395916
624.940796,1.8478,0.397863
626.523132,1.847966,0.399802
628.105408,1.84815,0.401733
629.687622,1.848349,0.403655
631.269775,1.848563,0.405569
632.851868,1.848791,0.407475
634.433899,1.849031,0.409374
636.015869,1.849285,0.411267
637.597778,1.849552,0.413155
639.179626,1.849832,0.415038
640.761414,1.850126,0.416918
642.34314,1.850437,0.418793
643.924866,1.850763,0.420663
645.50647,1.851106,0.422526
647.088013,1.851465,0.424383
648.6695560000001,1.85184,0.426231
650.250977,1.85223,0.428071
651.832336,1.852634,0.429902
653.413635,1.853052,0.431725
654.994873,1.853482,0.433538
656.57605,1.853926,0.435344
658.157166,1.854381,0.43714
659.73822,1.854848,0.438929
661.319214,1.855326,0.440709
662.900208,1.855816,0.442481
664.481079,1.856315,0.444247
666.06189,1.856826,0.446006
667.642578,1.857348,0.44776
669.223267,1.857882,0.449508
670.803894,1.85843,0.451252
672.384399,1.858992,0.452991
673.964966,1.859571,0.454723
675.545349,1.860167,0.456446
677.125671,1.860781,0.458157
678.705933,1.86141,0.459855
680.286194,1.862054,0.461537
681.866333,1.862709,0.463202
683.446411,1.863371,0.464848
685.026489,1.864037,0.466477
686.606384,1.864704,0.468093
688.186279,1.865371,0.4697
689.766113,1.866039,0.4713
691.345825,1.866709,0.472895
692.925537,1.867383,0.474489
694.505188,1.868063,0.476083
696.084717,1.868755,0.477678
697.664185,1.86946,0.479269
699.243591,1.870182,0.480854
700.822937,1.870918,0.482431
